Imagen,Area,Perimetro,Circularidad
img_1.jpg,3638.625000,260.000000,0.676395
img_1.jpg,3419.750000,248.000000,0.698716
img_1.jpg,3367.625000,250.000000,0.677101
img_1.jpg,3136.750000,238.000000,0.695882
img_1.jpg,2833.875000,232.000000,0.661629
img_10.jpg,16087.000000,598.000000,0.565305
img_12.jpg,8752.875000,448.000000,0.548030
img_12.jpg,16564.000000,612.000000,0.555741
img_12.jpg,3447.500000,250.000000,0.693161
img_12.jpg,5262.375000,320.000000,0.645791
img_13.jpg,18025.000000,642.000000,0.549560
img_13.jpg,16199.750000,598.000000,0.569267
img_13.jpg,17049.375000,618.000000,0.560972
img_14.jpg,18169.750000,642.000000,0.553973
img_14.jpg,16360.875000,602.000000,0.567314
img_14.jpg,17196.500000,620.000000,0.562169
img_14.jpg,15640.875000,580.000000,0.584272
img_15.jpg,3407.750000,248.000000,0.696264
img_15.jpg,3154.000000,240.000000,0.688096
img_2.jpg,16182.500000,596.000000,0.572483
img_2.jpg,17897.750000,634.000000,0.559538
img_3.jpg,8975.000000,458.000000,0.537667
img_3.jpg,8539.875000,446.000000,0.539500
img_3.jpg,9413.375000,466.000000,0.544733
img_3.jpg,17382.250000,1442.000000,0.105047
img_4.jpg,9754.500000,460.000000,0.579294
img_6.jpg,4832.625000,304.000000,0.657122
img_6.jpg,5491.500000,326.000000,0.649330
img_7.jpg,4832.875000,306.000000,0.648593
img_9.jpg,6097.125000,344.000000,0.647468
img_9.jpg,4839.875000,306.000000,0.649533
img_9.jpg,4739.875000,300.000000,0.661811
img_9.jpg,5506.750000,328.000000,0.643217
